,iso_code,region_group,income_group,country,survey,year,category,sex,location,wealth,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
60642,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Wealth,,,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324400008,238.0,,,,,0.108800001,75.0,,,,,,,,
60643,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Wealth,,,Quintile 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543600023,396.0,,,,,0.261400014,192.0,,,,,0.047200002,34.0,,
60820,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Location & Sex,Female,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.270500004,945.0,,,,,0.088,310.0,,,,,0.0099,32.0,,
60821,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Location & Sex,Male,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195500001,739.0,,,,,0.064000003,239.0,,,,,0.009,37.0,,
60932,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Sex & Speaks Language At Home,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253699988,929.0,,,,,0.083300002,298.0,,,,,0.0103,34.0,,
60933,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Sex & Speaks Language At Home,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184400007,732.0,,,,,0.060400002,239.0,,,,,0.0088,36.0,,
61226,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Sex & Wealth,Female,,Quintile 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206200004,65.0,,,,,,,,,,,,,,
61227,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Sex & Wealth,Female,,Quintile 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211500004,78.0,,,,,,,,,,,,,,
61228,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Sex & Wealth,Female,,Quintile 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297399998,102.0,,,,,0.098999999,34.0,,,,,,,,
61229,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Sex & Wealth,Female,,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361499995,147.0,,,,,0.1149,42.0,,,,,,,,
